original_site_code,sitename,lat,long,country,species_name
CerMS045,"Bela Vista, cerradão mesotrófico",-21.7880555555556,-56.2405555555556,Brasil,Bauhinia ungulata
AtlSC190,"Guatambu, floresta semidecídua",-27.09,-52.83,Brasil,Inga marginata
AmzAM074,"Alto Rio Urubu, floresta inundável de água negra",-2.10194444444444,-60.0138888888889,Brasil,Matayba arborescens
CerGO121,"Alto Paranã, floresta ripícola",-14.605,-47.2161111111111,Brasil,Siparuna guianensis
CerBA040,"Tabocas do Brejo Velho, cerrado",-12.5330555555556,-44.1708333333333,Brasil,Eugenia stictopetala
AmzGF011,"Camopi et Vila Brasil, forêt pluvieuse de terre ferme",3.1625,-52.3466666666667,France/Brasil,Swartzia polyphylla
AtlPR035,"Serra do Araçatuba, nanofloresta rupícola",-25.8980555555556,-48.98,Brasil,Drimys angustifolia
AtlSC060,"Nova Trento, floresta pluvial",-27.3583333333333,-49.0497222222222,Brasil,Baccharis singularis
AtlMG264,"Piedade do Rio Grande, floresta semidecídua",-21.4877777777778,-44.1005555555556,Brasil,Ocotea corymbosa
AtlMG070,"Serra do Caraça, Carapuça, nanofloresta nebular",-20.0791666666667,-43.4575,Brasil,Chamaecrista cytisoides
AmzPA112,"Tucuruí, Novo Repartimento, floresta estacional de terra firme",-4.51277777777778,-49.8852777777778,Brasil,Caryocar glabrum
AtlSC072,"Lauro Muller, floresta pluvial",-28.35,-49.4997222222222,Brasil,Gymnanthes klotzschiana
AtlRJ086,"Agulhas Negras, nanofloresta rupícola",-22.4080555555556,-44.6513888888889,Brasil,Piper cernuum
CerSP034,"Itatinga, cerrado",-23.0313888888889,-48.5505555555556,Brasil,Eugenia klotzschiana
AtlBA085,"Feira de Santana a Coração de Maria, floresta semidecídua",-12.255,-38.8172222222222,Brasil,Plinia cauliflora
AmzAM010,"Pari-Cachoeira, Igarapé Umari, floresta pluvial de terra firme",0.281111111111111,-69.7552777777778,Brasil,Licania heteromorpha
