input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:7225516,87,GBIF:7225516,Inga nobilis nobilis,subspecies,accepted,GBIF:7225516,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,nobilis,nobilis,5357519,,,Wykee
GBIF:7225517,88,GBIF:7225517,Inga nobilis nobilis,variety,accepted,GBIF:7225517,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,nobilis,nobilis,5357519,,,
GBIF:3261200,89,GBIF:3261200,Rhynchosia,genus,accepted,GBIF:3261200,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Rhynchosia,,,3792,,"Motschoulsky, 1855",
GBIF:2947992,90,GBIF:2947992,Rhynchosia,genus,accepted,GBIF:2947992,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Rhynchosia,,,5386,,Lour.,snoutbean
GBIF:7070405,91,GBIF:7070405,Paepalanthus mollis mollis,variety,accepted,GBIF:7070405,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Paepalanthus,mollis,mollis,5287171,,,
GBIF:9042975,92,GBIF:9042975,Paepalanthus mollis mollis,subspecies,accepted,GBIF:9042975,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Paepalanthus,mollis,mollis,5287171,,,
GBIF:2697816,93,GBIF:2697816,Aechmea ramosa ramosa,variety,accepted,GBIF:2697816,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,ramosa,ramosa,2697815,,,
GBIF:8863669,94,GBIF:8863669,Aechmea ramosa ramosa,subspecies,accepted,GBIF:8863669,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,ramosa,ramosa,2697815,,,
GBIF:3265552,95,GBIF:3265552,Annona,genus,accepted,GBIF:3265552,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Annona,,,4319,,"Distant, 1884",
GBIF:3155252,96,GBIF:3155252,Annona,genus,accepted,GBIF:3155252,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,,,9291,,L.,annonor
GBIF:1620438,97,GBIF:1620438,Richardia,genus,accepted,GBIF:1620438,Animalia,Arthropoda,Insecta,Diptera,Richardiidae,Richardia,,,9506,,"Robineau-Desvoidy, 1830",
GBIF:8232714,98,GBIF:8232714,Richardia,genus,accepted,GBIF:8232714,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Richardia,,,8798,,L.,Mexican clover
GBIF:2868790,99,GBIF:2868790,Zantedeschia,genus,accepted,GBIF:2868790,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Zantedeschia,,,6979,,Spreng.,kallor
GBIF:1858714,100,GBIF:1858714,Buszkoiana,genus,accepted,GBIF:1858714,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Buszkoiana,,,8863,,"Kocak, 1981",
GBIF:3268117,101,GBIF:3268117,Trifolium,genus,accepted,GBIF:3268117,Animalia,Platyhelminthes,Trematoda,,,Trifolium,,,345,,"Travassos, 1922",
GBIF:2973363,102,GBIF:2973363,Trifolium,genus,accepted,GBIF:2973363,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,,,5386,,L.,Конюшина
GBIF:1793320,103,GBIF:1793320,Agarista,genus,accepted,GBIF:1793320,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agarista,,,7015,,"Leach, 1814",
GBIF:2882656,104,GBIF:2882656,Agarista,genus,accepted,GBIF:2882656,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Agarista,,,2505,,D.Don ex G.Don,pipe-stem wood
GBIF:3133864,105,GBIF:3133864,Coreopsis,genus,accepted,GBIF:3133864,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Coreopsis,,,3065,,L.,Tickseed
GBIF:3248274,106,GBIF:3248274,Plathymenia,genus,accepted,GBIF:3248274,Animalia,Mollusca,Solenogastres,Cavibelonia,Amphimeniidae,Plathymenia,,,6891,,"Schwabl, 1961",
GBIF:2960738,107,GBIF:2960738,Plathymenia,genus,accepted,GBIF:2960738,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Plathymenia,,,5386,,Benth.,
GBIF:2302859,108,GBIF:2302859,Metzgeria,genus,accepted,GBIF:2302859,Animalia,Mollusca,Gastropoda,Neogastropoda,Ptychatractidae,Metzgeria,,,4960558,,"Norman, 1879",
GBIF:2689517,109,GBIF:2689517,Metzgeria,genus,accepted,GBIF:2689517,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,,,2274,,Raddi,boomvorkje
GBIF:9137283,110,GBIF:9137283,Diplusodon punctatus punctatus,subspecies,accepted,GBIF:9137283,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Diplusodon,punctatus,punctatus,7286360,,,
GBIF:7286361,111,GBIF:7286361,Diplusodon punctatus punctatus,variety,accepted,GBIF:7286361,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Diplusodon,punctatus,punctatus,7286360,,,
GBIF:1664661,112,GBIF:1664661,Heteropogon,genus,accepted,GBIF:1664661,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Heteropogon,,,7275,,"Loew, 1847",
GBIF:2706043,113,GBIF:2706043,Heteropogon,genus,accepted,GBIF:2706043,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Heteropogon,,,3073,,Pers.,tanglehead grass
GBIF:3978718,114,GBIF:3978718,Mimosa gracilis brevissima,variety,accepted,GBIF:3978718,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,brevissima,2969402,,Barneby,
GBIF:8857110,115,GBIF:8857110,Mimosa gracilis brevissima,subspecies,accepted,GBIF:8857110,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,brevissima,2969402,,Barneby,
GBIF:1009545,116,GBIF:1009545,Mollia,genus,accepted,GBIF:1009545,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Microporidae,Mollia,,,2139,,"Lamouroux, 1821",
GBIF:3233956,117,GBIF:3233956,Mollia,genus,accepted,GBIF:3233956,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Mollia,,,6685,,Mart.,
GBIF:3187737,118,GBIF:3187737,Baeckea,genus,accepted,GBIF:3187737,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Baeckea,,,5014,,L.,
GBIF:3233956,119,GBIF:3233956,Mollia,genus,accepted,GBIF:3233956,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Mollia,,,6685,,Mart.,
GBIF:1787988,120,GBIF:1787988,Chara,genus,accepted,GBIF:1787988,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chara,,,7015,,"Staudinger, 1892",
GBIF:2637982,121,GBIF:2637982,Chara,genus,accepted,GBIF:2637982,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,,,8782,,"Linnaeus, 1753",sträfsen
