scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Rhipsalis elliptica,TRUE,TRUE,Rhipsalis elliptica,1
Vriesea rodigasiana,TRUE,TRUE,Vriesea rodigasiana,1
Pecluma chnoophora,TRUE,TRUE,Pecluma chnoophora,1
Pabstiella mirabilis,TRUE,TRUE,Pabstiella mirabilis,1
Masdevallia infracta,TRUE,TRUE,Masdevallia infracta,1
Portea grandiflora,TRUE,TRUE,Portea grandiflora,1
Mormolyca rufescens,TRUE,TRUE,Mormolyca rufescens,1
Vriesea inflata,TRUE,TRUE,Vriesea inflata,1
Asplenium auriculatum,TRUE,TRUE,Asplenium auriculatum,1
Pabstiella varellae,TRUE,TRUE,Pabstiella varellae,1
Tillandsia stricta,TRUE,TRUE,Tillandsia stricta,1
Aechmea distichantha,TRUE,TRUE,Aechmea distichantha,1
Scaphyglottis reflexa,TRUE,TRUE,Scaphyglottis reflexa,1
Vriesea friburgensis,TRUE,TRUE,Vriesea friburgensis,1
Capanemia micromera,TRUE,TRUE,Capanemia micromera,1
Peperomia catharinae,TRUE,TRUE,Peperomia catharinae,1
Ficus arpazusa,TRUE,TRUE,Ficus arpazusa,1
Cochlidium punctatum,TRUE,TRUE,Cochlidium punctatum,1
Vriesea vagans,TRUE,TRUE,Vriesea vagans,1
Rumohra adiantiformis,TRUE,TRUE,Rumohra adiantiformis,1
Peperomia catharinae,TRUE,TRUE,Peperomia catharinae,1
Nidularium innocentii,TRUE,TRUE,Nidularium innocentii,1
Monstera adansonii,TRUE,TRUE,Monstera adansonii,1
Leucotrichum schenckii,TRUE,TRUE,Leucotrichum schenckii,1
Gomesa riograndensis,TRUE,TRUE,Gomesa riograndensis,1
Neoregelia concentrica,TRUE,TRUE,Neoregelia concentrica,1
Vriesea philippocoburgii,TRUE,TRUE,Vriesea philippocoburgii,1
Cattleya intermedia,TRUE,TRUE,Cattleya intermedia,1
Christensonella pumila,TRUE,TRUE,Christensonella pumila,1
Vriesea ensiformis,TRUE,TRUE,Vriesea ensiformis,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Neoregelia magdalenae,TRUE,TRUE,Neoregelia magdalenae,1
Acianthera langeana,TRUE,TRUE,Acianthera langeana,1
Trichocentrum pumilum,TRUE,TRUE,Trichocentrum pumilum,1
Trichocentrum pumilum,TRUE,TRUE,Trichocentrum pumilum,1
Nematanthus fritschii,TRUE,TRUE,Nematanthus fritschii,1
Vriesea psittacina,TRUE,TRUE,Vriesea psittacina,1
Campyloneurum nitidum,TRUE,TRUE,Campyloneurum nitidum,1
Pabstiella varellae,TRUE,TRUE,Pabstiella varellae,1
Peperomia obtusifolia,TRUE,TRUE,Peperomia obtusifolia,1
Elaphoglossum gayanum,TRUE,TRUE,Elaphoglossum gayanum,1
Pleopeltis pleopeltidis,TRUE,TRUE,Pleopeltis pleopeltidis,1
Campyloneurum crispum,TRUE,TRUE,Campyloneurum crispum,1
Epidendrum latilabrum,TRUE,TRUE,Epidendrum latilabrum,1
Tillandsia pohliana,TRUE,TRUE,Tillandsia pohliana,1
Vriesea vagans,TRUE,TRUE,Vriesea vagans,1
Serpocaulon catharinae,TRUE,TRUE,Serpocaulon catharinae,1
Oreopanax capitatus,TRUE,TRUE,Oreopanax capitatus,1
Vittaria lineata,TRUE,TRUE,Vittaria lineata,1
Campyloneurum rigidum,TRUE,TRUE,Campyloneurum rigidum,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Tillandsia aeranthos,TRUE,TRUE,Tillandsia aeranthos,1
Gomesa laxiflora,TRUE,TRUE,Gomesa laxiflora,1
Peperomia emarginella,TRUE,TRUE,Peperomia emarginella,1
Codonanthe devosiana,TRUE,TRUE,Codonanthe devosiana,1
Anathallis piratiningana,TRUE,TRUE,Anathallis piratiningana,1
Cattleya tenebrosa,TRUE,TRUE,Cattleya tenebrosa,1
Grandiphyllum divaricatum,TRUE,TRUE,Grandiphyllum divaricatum,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Dichaea cogniauxiana,TRUE,TRUE,Dichaea cogniauxiana,1
Epidendrum pseudodifforme,TRUE,TRUE,Epidendrum pseudodifforme,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Nematanthus fluminensis,TRUE,TRUE,Nematanthus fluminensis,1
Rhipsalis pilocarpa,TRUE,TRUE,Rhipsalis pilocarpa,1
Peperomia corcovadensis,TRUE,TRUE,Peperomia corcovadensis,1
Peperomia glabella,TRUE,TRUE,Peperomia glabella,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Gomesa imperatoris-maximiliani,TRUE,TRUE,Gomesa imperatoris-maximiliani,1
Cattleya cernua,TRUE,TRUE,Cattleya cernua,1
Polystachya concreta,TRUE,TRUE,Polystachya concreta,1
Stelis intermedia,TRUE,TRUE,Stelis intermedia,1
Leptotes unicolor,TRUE,TRUE,Leptotes unicolor,1
Nidularium innocentii,TRUE,TRUE,Nidularium innocentii,1
Tillandsia tricholepis,TRUE,TRUE,Tillandsia tricholepis,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Hatiora salicornioides,TRUE,TRUE,Hatiora salicornioides,1
Neoregelia longisepala,TRUE,TRUE,Neoregelia longisepala,1
Bulbophyllum regnellii,TRUE,TRUE,Bulbophyllum regnellii,1
Cattleya virens,TRUE,TRUE,Cattleya virens,1
Hymenophyllum hirsutum,TRUE,TRUE,Hymenophyllum hirsutum,1
