SpName,Longitude,Latitude
Pterodon emarginatus,-48.066667,-14.15
Lantana camara,-50.0119,-24.7911
Solanum paniculatum,-40.6975,-3.98806
Cedrela fissilis,-48.29,-20.87
Eugenia uniflora,-51.18,-29.03
Cassia grandis,-57.653333,-19.009167
Campomanesia adamantium,-47.966667,-15.8
Baccharis linearifolia,-47.6136,-16.7686
Pseudopiptadenia contorta,-40.383333,-19.883333
Mabea piriri,-41.21666667,-13.43333333
Nectandra oppositifolia,-47.8825,-24.608333
Prunus myrtifolia,-48.3222,-21.2547
Ocotea pulchella,-46.481389,-23.425
Myrcia multiflora,-51.7303,-29.5517
Myrcia venulosa,-41.8453,-20.6889
Machaerium scleroxylon,-57.4858,-14.6194
Myrcia laruotteana,-49.7058,-24.2511
Cordia nodosa,-35.1586,-8.66361
Piptadenia gonoacantha,-40.6655556,-18.9777778
Inga subnuda,-40.6592,-20.3633
Cassia ferruginea,-47.2928,-19.3528
Stryphnodendron pulcherrimum,-37.2064,-11.0147
Agonandra brasiliensis,-46.63,-23.54
Copaifera langsdorffii,-42.8769445,-22.1572222
Asclepias curassavica,-49.2166667,-25.2833333
Piper ovatum,-40.530278,-19.971389
Piper lhotzkyanum,-43.77,-21.22
Eugenia punicifolia,-41.830556,-13.598056
Tabebuia aurea,-54.0692,-2.00778
Miconia ciliata,-39.2208,-17.3411
Balfourodendron riedelianum,-44.77,-22.53
Inga virescens,-50.4525,-29.6411
Coutarea hexandra,-49.0553,-25.3056
Ronabea latifolia,-39.06666667,-15.16666667
Sebastiania commersoniana,-49.0661,-26.9194
Enterolobium contortisiliquum,-44.015167,-19.477194
Ocotea pulchella,-54.7381,-28.1486
Psidium cattleianum,-34.8731,-7.94083
Tapirira guianensis,-69.316667,-5.216667
Senna rizzinii,-40.6,-11.43
Albizia pedicellaris,-40.233628,-20.216511
Guapira opposita,-35.7353,-9.66583
Inga striata,-39.538889,-15.161944
Luehea divaricata,-49.2064,-25.5347
Byrsonima japurensis,-65.58,-1.85
Byrsonima intermedia,-43.71,-19.17
Blepharocalyx salicifolius,-49.074167,-24.055833
Myrcia laruotteana,-48.1872,-18.6472
Erythroxylum citrifolium,-59.9,-2.42
Solanum hexandrum,-39.58,-15.17
Byrsonima crassifolia,-47.424167,-7.120833
Lantana camara,-40.519722,-9.130556
Eugenia prasina,-44.8,-23.36666667
Helicteres ovata,-37.677778,-5.913889
Eugenia subterminalis,-48.6161,-26.1169
Zanthoxylum syncarpum,-38.4436,-6.25972
Poincianella pyramidalis,-43.916667,-12.933333
Solanum swartzianum,-42.408333,-22.354444
Trichilia catigua,-52.6,-23.66
Dalbergia frutescens,-53.716667,-27.166667
Drimys brasiliensis,-45.45,-22.7166667
Esenbeckia grandiflora,-38.9967,-14.2775
Paypayrola blanchetiana,-35.88833333,-9.22972222
Sophora tomentosa,-34.978633,-6.493617
Dalbergia villosa,-46.72,-23.32
Ocotea glauca,-40.273333,-19.820556
Rudgea vellerea,-43.15,-22.57
Ficus luschnathiana,-49.41,-26.369722
Siparuna brasiliensis,-41.99,-21.95
Parkia pendula,-67.81,-9.9747
Byrsonima gardneriana,-41.5575,-3.47194
Coussarea hydrangeifolia,-49.2467,-8.28389
Ficus eximia,-42.6786,-19.1722
Xylopia langsdorfiana,-48.3289,-25.3067
Bauhinia forficata,-45.28,-22.5092
Apeiba albiflora,-35.7808,-9.1975
Myrcia venulosa,-43.4075,-20.0747
Aspidosperma discolor,-48.4597,-14.4739
Cariniana legalis,-51.7939,-22.6978
Vernonanthura discolor,-49.1286,-27.9019
Agarista revoluta,-43.19,-22.9
Tachigali aurea,-47.9464,-18.1658
Calliandra brevipes,-47.64,-22.72
Myrsine gardneriana,-49.1925,-25.4447
Ficus maxima,-60.025,-3.10194
Amaioua guianensis,-37.723333,-12.0475
Campomanesia ilhoensis,-36.94,-10.593333
Nectandra puberula,-42.5311,-22.2819
Virola gardneri,-40.621944,-19.144167
Boehmeria caudata,-47.2181,-23.0903
Campomanesia guazumifolia,-46.3658,-20.2453
Andira fraxinifolia,-45.665,-23.774444
Cordiera sessilis,-35.2094,-5.795
Hymenaea courbaril,-44.99,-12.1528
Solanum variabile,-51.116944,-27.716667
Eugenia punicifolia,-50.0119,-24.7911
Byrsonima stipulacea,-38.8828,-15.8631
Bauhinia forficata,-48.739444,-23.529167
Rudgea jasminoides,-49.2317,-26.8978
Piper amplum,-48.0644444,-25.0025
Paralychnophora santosii,-44.1983,-19.9678
Randia armata,-39.27,-14.4
Inga cayennensis,-35.75,-9.583333333
Ocotea pulchella,-51.9906,-26.4842
Senna pendula,-46.916667,-18.8
Rubus brasiliensis,-46.564722,-21.838889
Trembleya parviflora,-41.4402777,-12.4597222
Myrceugenia myrcioides,-43.2,-22.9
Clidemia sericea,-43.703806,-19.136361
Campomanesia guazumifolia,-52.873889,-22.610417
Peltophorum dubium,-53.61,-23.4
Pterodon emarginatus,-55.82215,-21.14105
Leandra laevigata,-49.321111,-27.631389
Ocotea notata,-41.6052777,-22.2386111
Brosimum guianense,-55.93,-9.62
Croton sonderianus,-38.5431,-3.71722
Inga laurina,-43.2075,-22.9028
Piper arboreum,-40.530278,-19.971389
Coccoloba laevis,-35.845833,-9.761389
Psychotria hoffmannseggiana,-43.74,-18.03
Maytenus schumanniana,-45.59,-22.73
Margaritopsis cymuligera,-47.84,-24.48
Campomanesia eugenioides,-40.461389,-18.764722
Anadenanthera peregrina,-51.995,-6.64472
Psidium cattleianum,-41.6441666,-22.2355555
Miconia pyrifolia,-39.090278,-13.329167
Sebastiania schottiana,-46.9422,-22.3722
Stryphnodendron polyphyllum,-43.6814,-18.8072
Aegiphila integrifolia,-47.89,-15.94
Allophylus sericeus,-47.47,-21.85
Protium spruceanum,-47.51,-14.1325
Chaetocarpus echinocarpus,-34.8811,-8.05389
Alsophila setosa,-49.41,-28.17
Myrcia amazonica,-40.533333,-11.180278
Dyssochroma viridiflorum,-42.955,-21.4316667
Strychnos brasiliensis,-46.3861,-21.9236
Senna rizzinii,-40.583611,-13.531944
Piper viminifolium,-43.8467,-19.9856
Gochnatia oligocephala,-38.833333,-12.25
Miconia sellowiana,-48.822384,-25.127148
Henriettea succosa,-39.335833,-15.178333
Miconia amoena,-38.9667,-12.2667
Zollernia glabra,-42.9819,-22.5372
Solanum paniculatum,-44.633333,-13.366667
Bougainvillea glabra,-43.3503,-21.7642
Campomanesia xanthocarpa,-53.4553,-24.9558
Dasyphyllum spinescens,-46.5692,-22.0681
Plathymenia reticulata,-40.605,-20.3813889
Genipa americana,-37.054167,-10.789167
Eugenia pyriformis,-51.7144,-17.8814
Ziziphus joazeiro,-37.556667,-5.7925
Miconia mirabilis,-43.21,-22.9
Psychotria carthagenensis,-51.0364,-23.0586
Tapirira guianensis,-48.96,-15.85
Erythroxylum deciduum,-37.43,-7.19
Anadenanthera colubrina,-41.3244,-21.7542
Myrsine coriacea,-40.7461,-20.0406
Manihot anomala,-39.783333,-12.733333
Trichilia casaretti,-51.23,-30.0331
Mimosa tenuiflora,-37.79,-11.2739
Qualea cordata,-43.7,-19.166667
Swartzia apetala,-37.6941666,-12.0625
Pera glabrata,-47.9249,-24.181
Xylopia laevigata,-38.4,-12.166667
Piper cernuum,-45.541389,-23.591111
Posoqueria longiflora,-35.2325,-7.096389
Allophylus sericeus,-43.9378,-19.9208
Bauhinia longifolia,-50.24,-20.28
Tachigali aurea,-53.35,-17.066667
Diospyros hispida,-49.64,-20.62
Myrcia racemosa,-39.0177778,-14.2236111
Guapira pernambucensis,-39.2208,-17.3411
Eugenia ligustrina,-34.8631,-7.115
Psychotria bracteocardia,-35.15,-8.133333
Ocotea nectandrifolia,-43.4161,-20.3778
Gochnatia polymorpha,-40.376944,-19.889444
Lecythis pisonis,-41.7333,-4.91389
Chamaecrista ensiformis,-35.2628,-5.91556
Cyathea atrovirens,-48.855,-26.0267
Swartzia riedelii,-39.0753,-15.2933
Ocotea laxa,-43.2,-22.9
Trixis praestans,-49.2611,-24.8236
Calophyllum brasiliense,-41.8666667,-13.4833333
Hymenolobium alagoanum,-38.0844,-11.9419
Mollinedia engleriana,-45.31,-23.22
Manilkara salzmannii,-36.976389,-10.788611
Siparuna brasiliensis,-45.84,-23.53
Annona sylvatica,-46.9,-22.74
Marlierea eugeniopsoides,-50.220089,-27.092498
Schefflera macrocarpa,-47.89,-22.01
Inga sessilis,-45.9375,-23.075
Solanum granulosoleprosum,-44.9667,-22.3903
Inga laurina,-57.509028,-18.047556
Sophora tomentosa,-48.486167,-27.154917
Nectandra membranacea,-44.6833333,-23.05
Campomanesia guaviroba,-43.4688889,-22.5708334
Eugenia egensis,-49.7408,-18.2139
Myrcia fenzliana,-44.1722,-17.7575
