DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
ANNE_01323,ANNE,16360,TIJUCAS,SANTA CATARINA,SC,Brazil,,Dense Ombrophilous Forest,-27.35,-48.7667,Municipality,Amancio,Ferns,Blechnaceae,Lomaridium,acutum,Lomaridium acutum,hemiepiphyte,,,,,2009,2009,Presence_only,339,1669,22.3999996185303,Ombrophilous Forest,YES,
MENE2_17696,MENE2,E25178,CAMPOS DO JORDAO,SAO PAULO,SP,Brazil,,,-22.7394,-45.5914,Coordinates given in the herbarium record,P.E.Instituto Florestal,Angiosperms,Cactaceae,Rhipsalis,floccosa,Rhipsalis floccosa,holoepiphyte,,,,,,,Presence_only,1686,1797,16.7999992370605,Ombrophilous Forest,YES,
FUME_06750,FUME,E6770,BAEPENDI,MATO GROSSO DO SUL,MS,Brazil,,Mixed Ombrophilous Forest,-22.142,-44.7328,2000,Parque Estadual da Serra do Papagaio,Ferns,Polypodiaceae,Pleopeltis,macrocarpa,Pleopeltis macrocarpa,facultative,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,2012,2013,Presence_absence,1798,1890,17.1000003814697,Other,YES,
ANNE_03830,ANNE,16001,ANGELINA,SANTA CATARINA,SC,Brazil,,Dense Ombrophilous Forest,-27.45,-49.05,Municipality,Rio Fortuna,Angiosperms,Piperaceae,Peperomia,corcovadensis,Peperomia corcovadensis,holoepiphyte,,,,,2009,2009,Presence_only,638,1676,20.6000003814697,Ombrophilous Forest,YES,
KERB_03701,KERB,E3701,SAO JOAQUIM,SANTA CATARINA,SC,Brazil,ABUNDANCE,,-28.482429,-49.832046,Study site,Rio Pelotas,Angiosperms,Cactaceae,Lepismium,lumbricoides,Lepismium lumbricoides,holoepiphyte,,,,,2014,2014,Abundance,1132,1635,19.7999992370605,Ombrophilous Forest,YES,
AAMO_00285,AAMO,E0285,ARATACA,BAHIA,BA,Brazil,2,Dense Ombrophilous Forest,-15.16,-39.33,Study site,Parque Nacional da Serra das Lontras,Angiosperms,Orchidaceae,Epidendrum,latilabrum,Epidendrum latilabrum,holoepiphyte,,,,,2006,2014,Presence_only,150,1323,21.1000003814697,Ombrophilous Forest,YES,
MENE2_02668,MENE2,E11516,IRATI,PARANA,PR,Brazil,,,-25.4672,-50.6511,Coordinates given in the herbarium record,"Estrada para Sao Mateus do Sul, saida da cidade",Angiosperms,Orchidaceae,Leptotes,unicolor,Leptotes unicolor,holoepiphyte,,,,,,,Presence_only,912,1481,21.3999996185303,Ombrophilous Forest,YES,
FEMA_00240,FEMA,E240,CURITIBA,PARANA,PR,Brazil,3,,-25.426256,-49.307508,Study site,Rio Barigui,Ferns,Polypodiaceae,Campyloneurum,atlanticum,Campyloneurum atlanticum,not possible to confirm,,,,,2017,2017,Presence_only,926,1409,20.8999996185303,Ombrophilous Forest,YES,"The specimens examined for this study were compiled from the following herbaria: MBM, MO, NY, P, and UPCB Lindeman 2395 -MBM-"
MENE2_13823,MENE2,E21657,SAO JOAO DA BOA VISTA,SAO PAULO,SP,Brazil,,,-21.9692,-46.7981,Coordinates given in the herbarium record,,Angiosperms,Orchidaceae,Acianthera,aphthosa,Acianthera aphthosa,holoepiphyte,,,,,,,Presence_only,763,1485,22.5,Other,YES,
ZAND_00146,ZAND,E0146,MIRACATU,SAO PAULO,SP,Brazil,,Primary Forest,-24.0306333,-47.3533722,Study site,Legado das Aguas - Reserva Votorantim,Angiosperms,Orchidaceae,Phloeophila,nummularia,Phloeophila nummularia,holoepiphyte,,,,,2015,In progress,Presence_only,522,1727,22.7999992370605,Ombrophilous Forest,YES,"The sampling method used is walking, in paths of 10 to 20 kilometers."
PERB_00586,PERB,E0627,PARATY,RIO DE JANEIRO,RJ,Brazil,,,-23.2181,-44.7131,Municipality,"500 m N of the road in montane rain forest, 17 km from praca da Parati on road from Parati to Cunha",Angiosperms,Gesneriaceae,Nematanthus,monanthos,Nematanthus monanthos,holoepiphyte,,,,,1972,1972,Presence_only,,2273,26.5,Ombrophilous Forest,YES,Example
MENE2_27228,MENE2,E3654,NOVA PONTE,MINAS GERAIS,MG,Brazil,,,-19.1525,-47.6747,Coordinates given in the herbarium record,,Angiosperms,Araceae,Anthurium,sinuatum,Anthurium sinuatum,holoepiphyte,,,,,,,Presence_only,,,,,NO,
BREI_00843,BREI,E843,CANANEIA,SAO PAULO,SP,Brazil,T.B. BREIER 0233,Primary Restinga,-25.077222,-47.929167,1000,Parque Estadual Ilha do Cardoso,Angiosperms,Orchidaceae,Xylobium,colleyi,Xylobium colleyi,holoepiphyte,,,,,2002,2005,Presence_only,5,2481,26.6000003814697,Ombrophilous Forest,YES,
MENE2_19327,MENE2,E26660,PARAISOPOLIS,MATO GROSSO DO SUL,MS,Brazil,,,-22.5542,-45.78,Coordinates given in the herbarium record,,Angiosperms,Orchidaceae,Cattleya,cernua,Cattleya cernua,holoepiphyte,,,,,,,Presence_only,962,1529,21.3999996185303,Other,YES,
MENE2_14984,MENE2,E22712,SALESOPOLIS,SAO PAULO,SP,Brazil,,,-23.5322,-45.8464,Coordinates given in the herbarium record,Estacao Biologica de Boraceia-Trilha do Divisor,Angiosperms,Orchidaceae,Pabstiella,miniatolineolata,Pabstiella miniatolineolata,holoepiphyte,,,,,,,Presence_only,901,1609,20.5,Ombrophilous Forest,YES,
FUME_04551,FUME,E4570,LIMA DUARTE,MATO GROSSO DO SUL,MS,Brazil,,Cloud Forest,-21.70193,-43.87246,100,"Parque Estadual do Ibitipoca, Gruta do Piao",Ferns,Polypodiaceae,Pleopeltis,hirsutissima,Pleopeltis hirsutissima,holoepiphyte,Myrtaceae,Myrcia,splendens,Myrcia splendens,2014,2014,Presence_absence,1301,1770,18,Seasonal Forest,YES,
FRAL_02145,FRAL,E2145,RIO PRETO,MATO GROSSO DO SUL,MS,Brazil,,Urban Green Area,-22.08972,-43.8275,100,Praca Barao de Santa Clara,Angiosperms,Cactaceae,Epiphyllum,phyllanthus,Epiphyllum phyllanthus,holoepiphyte,Fabaceae,Poincianella,pluviosa,Poincianella pluviosa,2017,2018,Presence_only,515,1431,24.2000007629395,Seasonal Forest,YES,
