scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Enterolobium gummiferum,Fabaceae,Enterolobium gummiferum J.F.Macbr.,Fabaceae,Enterolobium gummiferum,(Mart.) J.F. Macbr.,flowering plants,Accepted,Fabaceae,(Mart.) J.F. Macbr.,-15.683056,-47.955278,2006-09-01,GBIF,UnB,UnB,UnB,UB,3120,1
,Asteraceae,Asteraceae,Asteraceae,Asteraceae,Bercht. & J. Presl,flowering plants,Accepted,Asteraceae,Bercht. & J. Presl,-16.722222,-42.9225,2014-06-25,GBIF,UFU,UFU,UFU,HUFU,2245,1
Psychotria capitata,Rubiaceae,Psychotria capitata Ruiz & Pav.,Rubiaceae,Psychotria capitata,Ruiz & Pav.,flowering plants,Accepted,Rubiaceae,Ruiz & Pav.,,,2009-06-25,GBIF,IMA,IMA,IMA,MAC,2458,1
Actinocephalus polyanthus,Eriocaulaceae,Actinocephalus polyanthus (Bong.) Sano,Eriocaulaceae,Actinocephalus polyanthus,(Bong.) Sano,flowering plants,Accepted,Eriocaulaceae,(Bong.) Sano,-18.78778,-45.44222,,GBIF,G,G,G,Geneva Herbarium – General Collection (G),3547,1
Trichogonia hirtiflora,Asteraceae,Trichogonia hirtiflora Sch.Bip. ex Baker,Asteraceae,Trichogonia hirtiflora,(DC.) Sch. Bip. ex Baker,flowering plants,Accepted,Asteraceae,(DC.) Sch. Bip. ex Baker,-18.264167,-43.839444,2012-12-07,GBIF,UFU,UFU,UFU,HUFU,2245,1
Melpomene flabelliformis,Polypodiaceae,Melpomene flabelliformis (Poir.) A.R.Sm. & R.C.Moran,Polypodiaceae,Melpomene flabelliformis,(Poir.) A.R. Sm. & R.C. Moran,ferns and allies,Accepted,Polypodiaceae,(Poir.) A.R. Sm. & R.C. Moran,-22.277,-43.019,2012-10-25,GBIF,UFPR,UFPR,UFPR,UPCB,2201,1
Passiflora cincinnata,Passifloraceae,Passiflora cincinnata,Passifloraceae,Passiflora cincinnata,Mast.,flowering plants,Accepted,Passifloraceae,Mast.,-14.066667,-42.466667,1992-11-28,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
Aenigmatanthera lasiandra,Malpighiaceae,Aenigmatanthera lasiandra (A.Juss.) W.R.Anderson,Malpighiaceae,Aenigmatanthera lasiandra,(A. Juss.) W.R. Anderson,flowering plants,Accepted,Malpighiaceae,(A. Juss.) W.R. Anderson,-13.164722,-48.302222,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Trichogoniopsis adenantha,Asteraceae,Trichogoniopsis adenantha (DC.) R.M.King & H.Rob.,Asteraceae,Trichogoniopsis adenantha,(DC.) R.M. King & H. Rob.,flowering plants,Accepted,Asteraceae,(DC.) R.M. King & H. Rob.,-13.283333,-41.85,2007-01-30,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Protium klugii,Burseraceae,Protium klugii J.F.Macbr.,Burseraceae,Protium klugii,J.F. Macbr.,flowering plants,Accepted,Burseraceae,J.F. Macbr.,-2.883333,-59.97,1995-08-01,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Licania rodriguesii,Chrysobalanaceae,Chrysobalanaceae Licania rodriguesii,Chrysobalanaceae,Licania rodriguesii,Prance,flowering plants,Accepted,Chrysobalanaceae,Prance,-2.5975461,-60.1093966,2004-03-07,TEAM,Manaus,Eduardo Eler,,,42,1
,Acanthaceae,Justicia,Acanthaceae,Justicia,L.,flowering plants,Accepted,Acanthaceae,L.,,,1982-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
Ouratea floribunda,Ochnaceae,Ouratea floribunda,Ochnaceae,Ouratea floribunda,Engl.,flowering plants,Accepted,Ochnaceae,Engl.,-15.883333,-47.933333,1990-11-01,SpeciesLink,UnB,UnB,UnB,UB,1227,1
Allophylus puberulus,Sapindaceae,Allophylus puberulus Radlk.,Sapindaceae,Allophylus puberulus,Radlk.,flowering plants,Accepted,Sapindaceae,Radlk.,-12.061111,-37.745833,1995-12-18,GBIF,IPA,IPA,IPA,IPA,3347,1
Metzgeria dichotoma,Metzgeriaceae,Metzgeria dichotoma (Sw.) Nees,Metzgeriaceae,Metzgeria dichotoma,(Sw.) Nees,bryophytes,Accepted,Metzgeriaceae,(Sw.) Nees,-29.16666,-51.16666,2006-01-26,MO,MO,MO,MO,,280,1
Pterolepis glomerata,Melastomataceae,Pterolepis glomerata (Rottb.) Miq.,Melastomataceae,Pterolepis glomerata,(Rottb.) Miq.,flowering plants,Accepted,Melastomataceae,(Rottb.) Miq.,-17.483,-39.217,1977-01-16,NY,NY,NY,NY,Herbarium,104,1
,Malvaceae,Sterculia L.,Malvaceae,Sterculia,L.,flowering plants,Accepted,Malvaceae,L.,-4.021667,-69.504444,2012-06-17,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Spigelia anthelmia,Loganiaceae,Spigelia anthelmia L.,Loganiaceae,Spigelia anthelmia,L.,flowering plants,Accepted,Loganiaceae,L.,-2.883333,-59.97,1997-12-15,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Virola elongata,Myristicaceae,Virola elongata Warb.,Myristicaceae,Virola elongata,(Benth.) Warb.,flowering plants,Accepted,Myristicaceae,(Benth.) Warb.,0.966667,-67.166667,1987-10-25,GBIF,Faculdade São Lucas (FSL),Faculdade São Lucas (FSL),Faculdade São Lucas (FSL),HFSL,2979,1
Croton triangularis,Euphorbiaceae,Croton triangularis Müll.Arg.,Euphorbiaceae,Croton triangularis,Müll. Arg.,flowering plants,Accepted,Euphorbiaceae,Müll. Arg.,-16.9975,-42.7975,2004-01-24,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Scleronema micranthum,Malvaceae,Malvaceae Scleronema micranthum,Malvaceae,Scleronema micranthum,(Ducke) Ducke,flowering plants,Accepted,Malvaceae,(Ducke) Ducke,-2.5975461,-60.1093966,2007-09-19,TEAM,Manaus,Eduardo Eler,,,42,1
