original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Erpodium glaziovii,NA,NA,accepted,GBIF:2671883,Erpodium glaziovii,species,accepted,GBIF:2671883,Plantae,Bryophyta,Bryopsida,Orthotrichales,Erpodiaceae,Erpodium,glaziovii,NA,2671875,NA,"Hampe, 1872",NA
Frullania riojaneirensis,NA,NA,accepted,GBIF:8225223,Frullania riojaneirensis,species,accepted,GBIF:8225223,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,riojaneirensis,NA,2688736,NA,Spruce (Raddi),NA
Protium paniculatum,NA,NA,accepted,GBIF:7286856,Protium paniculatum,species,accepted,GBIF:7286856,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,paniculatum,NA,7286732,NA,Engl.,NA
Ocotea deflexa,NA,NA,accepted,GBIF:4182951,Ocotea deflexa,species,accepted,GBIF:4182951,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,deflexa,NA,3034076,4179709,Rohwer,NA
Critoniopsis quinqueflora,NA,NA,accepted,GBIF:3124244,Critoniopsis quinqueflora,species,accepted,GBIF:3124244,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Critoniopsis,quinqueflora,NA,3101401,5396941,H.Rob. (Less.),NA
Chamaecrista desvauxii,NA,NA,accepted,GBIF:2949909,Chamaecrista desvauxii,species,accepted,GBIF:2949909,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,desvauxii,NA,2949492,5351391,Killip (Collad.),NA
Cupania vernalis,NA,NA,accepted,GBIF:3784297,Cupania vernalis,species,accepted,GBIF:3784297,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Cupania,vernalis,NA,3189959,NA,Cambess.,rabo de bugio
Stryphnodendron adstringens,NA,NA,accepted,GBIF:2951737,Stryphnodendron adstringens,species,accepted,GBIF:2951737,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Stryphnodendron,adstringens,NA,2951701,7709170,Coville (Mart.),faveira
Abolboda paniculata,NA,NA,accepted,GBIF:2692547,Abolboda paniculata,species,accepted,GBIF:2692547,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Abolboda,paniculata,NA,2692513,NA,Maguire,NA
Tovomitopsis paniculata,NA,NA,accepted | replaceSynonym,GBIF:3715165,Tovomita paniculata,species,accepted,GBIF:7928259,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Tovomita,paniculata,NA,7329865,5555827,Cambess. (Spreng.),NA
Callisia filiformis,NA,NA,accepted,GBIF:5303443,Callisia filiformis,species,accepted,GBIF:5303443,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,filiformis,NA,2763692,2763751,D.R.Hunt (M.Martens & Galeotti),NA
