original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Solanum kriegeri,NA,NA,accepted,GBIF:8167635,solanum kriegeri,species,accepted,GBIF:8167635,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,kriegeri,NA,2928997,NA,Giacomin & Stehmann,NA
Hypolytrum amorimii,NA,NA,accepted,GBIF:2709260,hypolytrum amorimii,species,accepted,GBIF:2709260,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Hypolytrum,amorimii,NA,2709252,NA,M.Alves & W.W.Thomas,NA
Cuphea sessilifolia,NA,NA,accepted,GBIF:7286222,cuphea sessilifolia,species,accepted,GBIF:7286222,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,sessilifolia,NA,3188676,NA,Mart.,NA
Tabebuia,NA,NA,accepted,GBIF:7935410,tabebuia,genus,accepted,GBIF:7935410,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tabebuia,NA,NA,6655,NA,Gomes,NA
Microstachys,NA,NA,accepted,GBIF:3074584,microstachys,genus,accepted,GBIF:3074584,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Microstachys,NA,NA,4691,NA,A.Juss.,NA
Asteraceae,NA,NA,accepted,GBIF:3065,asteraceae,family,accepted,GBIF:3065,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,NA,414,NA,NA,キク科
Baccharis gnaphalioides,NA,NA,accepted,GBIF:3129431,baccharis gnaphalioides,species,accepted,GBIF:3129431,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,gnaphalioides,NA,3129135,NA,DC.,NA
Blechnum schomburgkii,NA,NA,accepted | replaceSynonym,GBIF:8877178,lomariocycas schomburgkii,species,accepted,GBIF:8877178,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Lomariocycas,schomburgkii,NA,10856091,4078804,Gasper & A.R.Sm. (Klotzsch),NA
Zanthoxylum rhoifolium,NA,NA,accepted,GBIF:7269222,zanthoxylum rhoifolium,species,accepted,GBIF:7269222,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,NA,3190076,NA,Lam.,tinguaciba
Chamaecrista rotundifolia,NA,NA,accepted,GBIF:2949803,chamaecrista rotundifolia,species,accepted,GBIF:2949803,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,rotundifolia,NA,2949492,5351322,Greene (Pers.),roundleaf sensitive pea
Dorstenia dolichocaula,NA,NA,homotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus umbellatus,NA,NA,accepted,GBIF:2689981,syngonanthus umbellatus,species,accepted,GBIF:2689981,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Syngonanthus,umbellatus,NA,2689618,NA,Ruhland (Lam.),NA
Sapindaceae,NA,NA,accepted,GBIF:6657,sapindaceae,family,accepted,GBIF:6657,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,NA,NA,NA,933,NA,NA,무환자나무과
Polygala,NA,NA,accepted,GBIF:3191366,polygala,genus,accepted,GBIF:3191366,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,NA,NA,2417,NA,L.,polygala
Andira fraxinifolia,NA,NA,accepted,GBIF:2952186,andira fraxinifolia,species,accepted,GBIF:2952186,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Andira,fraxinifolia,NA,7858091,NA,Benth.,pinhao do mato
Bidens gardneri,NA,NA,accepted,GBIF:5391782,bidens gardneri,species,accepted,GBIF:5391782,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,gardneri,NA,3105856,NA,Baker,ridge beggartick
Pinus taeda,NA,NA,accepted,GBIF:5285241,pinus taeda,species,accepted,GBIF:5285241,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,taeda,NA,2684241,NA,L.,테에다소나무
Huperzia linifolia,NA,NA,homotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecluma filicula,NA,NA,accepted,GBIF:4028271,pecluma filicula,species,accepted,GBIF:4028271,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pecluma,filicula,NA,2650499,NA,M.G.Price (Kaulf.),NA
Mimosa pteridifolia,NA,NA,accepted,GBIF:2970164,mimosa pteridifolia,species,accepted,GBIF:2970164,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pteridifolia,NA,2969235,NA,Benth.,malicia
Zanthoxylum rhoifolium,NA,NA,accepted,GBIF:7269222,zanthoxylum rhoifolium,species,accepted,GBIF:7269222,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,NA,3190076,NA,Lam.,tinguaciba
Coccoloba densifrons,NA,NA,accepted,GBIF:4032930,coccoloba densifrons,species,accepted,GBIF:4032930,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Coccoloba,densifrons,NA,2888822,NA,C.Mart. ex Meisn.,NA
Psychotria,NA,NA,accepted,GBIF:2919963,psychotria,genus,accepted,GBIF:2919963,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Psychotria,NA,NA,8798,NA,L.,wild coffee
Miconia corallina,NA,NA,accepted,GBIF:3869147,miconia corallina,species,accepted,GBIF:3869147,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,corallina,NA,3188558,NA,Spring,NA
Vochysia,NA,NA,accepted,GBIF:8225540,vochysia,genus,accepted,GBIF:8225540,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Vochysiaceae,Vochysia,NA,NA,3231623,NA,Aubl.,NA
Hirtella bicornis,NA,NA,accepted,GBIF:2985124,hirtella bicornis,species,accepted,GBIF:2985124,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,bicornis,NA,2944960,NA,Mart. & Zucc.,NA
Micropholis venulosa,NA,NA,accepted,GBIF:5333937,micropholis venulosa,species,accepted,GBIF:5333937,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Micropholis,venulosa,NA,2887381,2887488,Pierre (Mart. & Eichler),uvinha
Pleurostachys tenuiflora,NA,NA,accepted,GBIF:2712142,pleurostachys tenuiflora,species,accepted,GBIF:2712142,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Pleurostachys,tenuiflora,NA,2712053,2712056,Brongn.,NA
Paspalum carinatum,NA,NA,accepted,GBIF:4114137,paspalum carinatum,species,accepted,GBIF:4114137,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,carinatum,NA,2705540,NA,Flüggé,NA
Miconia tristis,NA,NA,accepted,GBIF:7601120,miconia tristis,species,accepted,GBIF:7601120,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,tristis,NA,3188558,NA,Spring. ex Mart.,NA
Chrysophyllum inornatum,NA,NA,accepted,GBIF:2885737,chrysophyllum inornatum,species,accepted,GBIF:2885737,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,inornatum,NA,2885576,NA,Mart.,murta
Diodella,NA,NA,accepted | replaceSynonym,GBIF:7271157,hexasepalum,genus,accepted,GBIF:7271157,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Hexasepalum,NA,NA,8798,NA,Bartl. ex DC.,NA
Mouriri acutiflora,NA,NA,accepted,GBIF:3871067,mouriri acutiflora,species,accepted,GBIF:3871067,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Mouriri,acutiflora,NA,3188623,NA,Naudin,flor de mosquito amarillo
Paullinia stellata,NA,NA,accepted,GBIF:3787476,paullinia stellata,species,accepted,GBIF:3787476,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Paullinia,stellata,NA,3189948,8100871,Radlk.,NA
Hymenophyllum polyanthos,NA,NA,accepted,GBIF:8051570,hymenophyllum polyanthos,species,accepted,GBIF:8051570,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,polyanthos,NA,2651287,7944425,Sw. (Sw.),좀처녀이끼
Huberia ovalifolia,NA,NA,accepted,GBIF:3857895,huberia ovalifolia,species,accepted,GBIF:3857895,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Huberia,ovalifolia,NA,3231513,NA,DC.,quaresma branca
Tephrosia adunca,NA,NA,accepted,GBIF:5342262,tephrosia adunca,species,accepted,GBIF:5342262,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,adunca,NA,2933053,NA,Benth.,NA
Blepharocalyx,NA,NA,accepted,GBIF:3187870,blepharocalyx,genus,accepted,GBIF:3187870,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Blepharocalyx,NA,NA,5014,NA,O.Berg,NA
Piper aduncum,NA,NA,accepted,GBIF:3086337,piper aduncum,species,accepted,GBIF:3086337,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,aduncum,NA,3075433,NA,L.,yaqona ni onolulu
Psychotria,NA,NA,accepted,GBIF:2919963,psychotria,genus,accepted,GBIF:2919963,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Psychotria,NA,NA,8798,NA,L.,wild coffee
Luetzelburgia harleyi,NA,NA,accepted,GBIF:3974044,luetzelburgia harleyi,species,accepted,GBIF:3974044,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Luetzelburgia,harleyi,NA,2947738,NA,"D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",quebra foice
Myrceugenia euosma,NA,NA,accepted,GBIF:3185674,myrceugenia euosma,species,accepted,GBIF:3185674,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrceugenia,euosma,NA,3185514,5419776,D.Legrand (Berg),NA
Zanthoxylum rhoifolium,NA,NA,accepted,GBIF:7269222,zanthoxylum rhoifolium,species,accepted,GBIF:7269222,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,NA,3190076,NA,Lam.,tinguaciba
Isopterygium tenerum,NA,NA,accepted,GBIF:2681889,isopterygium tenerum,species,accepted,GBIF:2681889,Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Isopterygium,tenerum,NA,2673212,NA,"Mitten, 1869",柔葉同葉苔
Pavonia cancellata,NA,NA,accepted,GBIF:7279637,pavonia cancellata,species,accepted,GBIF:7279637,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Pavonia,cancellata,NA,3152525,8301133,Cav. (L.),NA
Rubiaceae,NA,NA,accepted,GBIF:8798,rubiaceae,family,accepted,GBIF:8798,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,NA,NA,NA,412,NA,NA,アカネ科
Dimorphandra mollis,NA,NA,accepted,GBIF:2974269,dimorphandra mollis,species,accepted,GBIF:2974269,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dimorphandra,mollis,NA,2974262,NA,Benth.,sucupira branca
