database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
IDIGBIO_1524,Psittacanthus robustus,,,db7fbacb-fc5a-4220-ad4f-4310e7001b12,"",Brasil,Minas Gerais,"",Ca. 15km west of Grão Mogol,,PreservedSpecimen,"Kuijt, J",,"Irwin, HS; Santos, RR; Souza, R; Fonseca, SF",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1525,Ilex amara,,,5c3bcc4f-4c6f-4677-afef-2b15a615b193,"",Brasil,Minas Gerais,"","",,PreservedSpecimen,"",,"Stehmann, JR",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1529,Mascagnia cordifolia,,,c84f7bbb-8bdc-4403-a3d5-fb26038c9d93,"",Brasil,Mato Grosso do Sul,"",Cerradinho-UFMS.,,PreservedSpecimen,A. Pott,,A.B. Gonçalves,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1531,Psychotria stachyoides,,,60853521-d179-4223-bf1b-73cbe1b34d4f,"",Brazil,Minas Gerais,"","Subida da Serra de Carrancas, mata no caminho para o afloramento da proriedade do Sr. João Galdêncio. Em sub-bosque.",,PreservedSpecimen,"Zappi, DC",,"Simões, AO; Koehler, S; Singer, RB; Belinello, R",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1532,Amaranthus gracilis Desf.,,,de911d90-62a2-47db-a1f0-9d785c2fa7a9,1829-00-00,Brazil,"","","",,PreservedSpecimen,"",,Burchell,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1533,Piptocarpha oblonga,,,0370cb8c-52ca-4dad-a7d6-5c5a84a19d1d,"",Brasil,Santa Catarina,"","Monte Crista, rio do Cristo.",,PreservedSpecimen,"Vieira, FCS",,"Vieira, F.C.S.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1535,Pagamea guianensis Aubl.,,,0852647f-6ec8-4403-982c-aa130a83831d,2003-12-03,Brasil,Amazonas,Santa Isabel do Rio Negro,"Rio Ayuanã, margem direita do rio Negro. Campinarana/Campina. Solo areia branca.",,PreservedSpecimen,"",,Mike Hopkins,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1536,Ixora venulosa Benth.,,,d80a2873-5227-46ff-ac08-e914c4ed6e80,1989-03-08,Brazil,"","",Remanescente Florestal do Rio Passa Cinco.,,PreservedSpecimen,"",,"Rodrigues, R.R.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1537,"",,,2ed95a16-fdc0-413f-9d57-8680b4d6798e,"",Brasil,Piauí,"",Igarapé do Periquito,,PreservedSpecimen,P.G.Ribeiro,,F.M.T.Freire,FALSE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1538,Pranceacanthus coccineus Wassh.,,,5658137a-aab8-4713-ba97-ef4c158f9b80,1968-06-24,Brazil,Rondônia,"","Vicinity of Jaciparaná, on road WNW of village. Secondary forest.",,PreservedSpecimen,"",,G. T. Prance,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1541,Daphnopsis fasciculata (Meisn.) Nevling,,,b685a511-1eec-4f02-b511-e572f87eb559,"",Brasil,"","","",,PreservedSpecimen,"",,Regnell,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1542,Thelypteris conspersa (Schrad.) A.R.Sm.,,,9ab29919-a508-4b3c-8fe0-d520c82a7025,01/1942,Brasil,Rio Grande do Sul,"","",,PreservedSpecimen,Brade,,Jose Eugenio,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1543,Trametes sclerodepsis Berk.,,,e514dccd-19a4-46be-adca-ad5c64c55c0a,1978-04-24,Brasil,Mato Grosso,Aripuanã,Carredos da estrada de Fontanilha-Aripuanã,,PreservedSpecimen,"""""Gibertoni, T.B.; Gomes-Silva, A.C.""""",,Mike Hopkins,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1545,Dalbergia spruceana Benth.,,,c8069966-c9b4-4f5c-92f0-018bc881ca41,27/05/1994,Brasil,Rio de Janeiro,"","EMBRAPA-CNPAB, experimento de inoculação- Seropédica. Mudas provenientes de sementes de Porto Trombetas. Em experimento de nodulação, nodularam.",,PreservedSpecimen,"",,S.M.de Faria,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
