database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.missing_name,.missing_xy,.invalid_xy,.xy_provenance,country_suggested,countryCode,transposed_xy,.xy_out_country,.summary
GBIF_141,Viola subdimidiata A.St.-Hil.,,,1291652707,,BR,"",,Environs de Rio Janeiro.,,PRESERVED_SPECIMEN,"",,"Glaziou, A.F.M.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_143,Hyptidendron asperrimum (Sprengel) Harley,,,1230812762,,BR,"",,Ad Rufinha de Chapea d' Uras & prasertim [...],,PRESERVED_SPECIMEN,Guilherme Antar 2020-02,,"Pohl,J.B.E.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_150,Neogardneria murrayana (Gardner ex Hook.) Garay,,,1424460140,1942-02-16 00:00:00,BR,Rio de Janeiro,,P.N.I. Lote 17.,,PRESERVED_SPECIMEN,Luiz Menini,,W.D. Ramos,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_151,Ludwigia decurrens Walter,,,1314795693,1904-09-01 00:00:00,BR,Pará,,Belém,,PRESERVED_SPECIMEN,"Ramamoorthy, T.P.",,"Huber, J.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_152,Smilax polyantha Griseb.,,,1089005870,1984-07-25 00:00:00,BR,São Paulo,,"Broa, Cerrado junto à Represa do Lobo",,PRESERVED_SPECIMEN,"Andreata, RHP",,"Arasaki, FR",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_153,Trema micrantha Blume,,,1089042524,1991-08-28 00:00:00,BR,São Paulo,,"Parque Ecológico - Arboreto, UEC.",,PRESERVED_SPECIMEN,"",,"Santin, DA",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_156,Stylosanthes scabra Vogel,,,1089037017,1995-04-26 00:00:00,BR,São Paulo,,"Estação Experimental do IAC, Região de matas.",,PRESERVED_SPECIMEN,"Brandão, M",,"Bernacci, LC; Sciamarelli, A; Grecco, MDN; Andrade, PRP; Belinello, R; Falivene, SMP",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_161,Inga laurina (Sw.) Willd.,,,1094836202,2005-09-05 00:00:00,BR,Minas Gerais,,Metal Sider - Faz. São Gonçalo do Abaeté.,,PRESERVED_SPECIMEN,"",,"Vidal, C.V.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_162,Pachira humilis Decne.,,,1424307177,1979-08-08 00:00:00,BR,Amazonas,,"BR 174, estrada Manaus-Caracaraí Km 97, estrada da Balbina Km 69, próximo ao canteiro de obra da Hidreletrica.",,PRESERVED_SPECIMEN,V.N. Yoshikawa,,"C.A.Cid; W.R.Buck, B.W.Nelson, F.Almeida, C.D.A. Mota & J. Lima",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_164,Chrysophyllum imperiale Benth. & Hook.f.,,,1424111913,1927-11-04 00:00:00,BR,"",,"MATTAS DA FABRICA CARIOCA, PEDRA D´ÁGUA, PERTO DA SEDE DO HORTO FLORESTAL.",,PRESERVED_SPECIMEN,L.F. Lima,,PESSOAL DO HORTO FLORESTAL ( AUTENOR),TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
