input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:4051555,281,GBIF:4051555,Polygala harleyi intermedia,variety,accepted,GBIF:4051555,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,intermedia,7293579,,M.C.M.Marques,
GBIF:9070126,282,GBIF:9070126,Polygala harleyi intermedia,subspecies,accepted,GBIF:9070126,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,intermedia,7293579,,M.C.Marques,
GBIF:1810912,283,GBIF:1810912,Riccia,genus,accepted,GBIF:1810912,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Riccia,,,4548,,"Travassos, 1953",
GBIF:2688639,284,GBIF:2688639,Riccia,genus,accepted,GBIF:2688639,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,,,2259,,L.,rosettmossor
GBIF:3248891,285,GBIF:3248891,Ceiba,genus,accepted,GBIF:3248891,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Ceiba,,,6761,,"Clark & Durham, 1946",
GBIF:3152218,286,GBIF:3152218,Ceiba,genus,accepted,GBIF:3152218,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Ceiba,,,6685,,Mill.,
GBIF:3265154,287,GBIF:3265154,Condalia,genus,accepted,GBIF:3265154,Animalia,Arthropoda,Insecta,Odonata,,Condalia,,,789,,"Whalley & Jarzembowski, 1985",
GBIF:3039287,288,GBIF:3039287,Condalia,genus,accepted,GBIF:3039287,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,,,2407,,Cav.,snakewood
GBIF:2906871,289,GBIF:2906871,Coccocypselum,genus,accepted,GBIF:2906871,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coccocypselum,,,8798,,P.Browne,
GBIF:3262232,290,GBIF:3262232,Arachis,genus,accepted,GBIF:3262232,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Arachis,,,7854,,"Raffray, 1890",
GBIF:2956684,291,GBIF:2956684,Arachis,genus,accepted,GBIF:2956684,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,,,5386,,L.,peanut
GBIF:3985149,292,GBIF:3985149,Banisteriopsis malifolia appressa,variety,accepted,GBIF:3985149,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,appressa,7285536,,B.Gates,
GBIF:8832018,293,GBIF:8832018,Banisteriopsis malifolia appressa,subspecies,accepted,GBIF:8832018,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,appressa,7285536,,B.Gates,
GBIF:3087526,294,GBIF:3087526,Trichospira verticillata,species,accepted,GBIF:3087526,Chromista,Ciliophora,Kinetofragminophora,Trichostomatida,Trichospiridae,Trichospira,verticillata,,8211018,,,
GBIF:10585474,295,GBIF:10585474,Trichospira verticillata,species,accepted,GBIF:10585474,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trichospira,verticillata,,3087525,,S.F.Blake,
GBIF:8874935,296,GBIF:8874935,Hirtella racemosa racemosa,subspecies,accepted,GBIF:8874935,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,racemosa,2985122,,,
GBIF:7335166,297,GBIF:7335166,Hirtella racemosa racemosa,variety,accepted,GBIF:7335166,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,racemosa,2985122,,,
GBIF:7303719,298,GBIF:7303719,Turnera bahiensis bahiensis,variety,accepted,GBIF:7303719,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,bahiensis,bahiensis,7303718,,,menino duro
